word,explanation
下,下 (指事。据甲骨文，上面部分表示位置的界限，下面部分表示在下的意思。本义下面，位置在下)同本义 下，底也。--《说文》在南山之下。--《诗·召南·殷其靬》十月蟋蟀入我床下。--《诗·豳风·七月》下声肆。--《周礼·典同》。注谓钟形下大。君臣上下。--《礼记·曲礼》阴山下。--《乐府诗集·杂歌谣辞·敕勒歌》放之山下。--唐·柳宗元《三戒》愬至城下。--《资治通鉴·唐纪》奔倚其下。--《聊斋志异·狼三则》又如下元(道教指水中或水府);下溜头(下流头。江河下下xià⒈位置在低处，跟'上'相对～部。～面的。在楼～。〈引〉①时间、次序在后～午。～周。～页。～册。②级别低的～级。谦词～情。在～。正中～怀。③等级低，质量差～等品。这算～策。⒉低，跟'高'相对，由高到低分个高～。～楼梯。～山坡。〈引〉①投入，进入～矿井。～油锅。②去，往～乡。～车间。～基层。③结束，离开～课了。已～班。④投送，颁布～挑战书。～命令。⑤降落～小雨。～大雪。⑥向下面的～达文件。～放权力。⒊攻破，攻克攻～碉堡。已～数城。⒋方面，方位两～商议。四～观望。⒌让，退相持不～。⒍减除，卸掉减～。除～。～妆。卸～货物。⒎在名词后。①〈表〉在里面水～。头发～。意～如何？②〈表〉某个时节时～。而今眼目～。⒏在动词后。①〈表〉动作的趋向、继续停～来。说～去。②〈表〉关系教导～。关怀～。哺育（之）～。③〈表〉完成，结果准备～资料。打～了扎实的基础。⒐作出～决心。～结论。⒑用，使用～功夫。对症～药。⒒处所，范围乡～。手～。⒓动物产卵或产仔鸭～蛋。猪～崽了。⒔少于不～五十人。⒕量词。指动作的次数打三～。挥动几～。⒖①人或物的去处、着落有了～落。②下降正在～落。⒗①江河的下游。②旧时指卑下的地位或工作。③卑鄙龌龊～流无耻。⒘①人的结局（多含贬义）贪官的～场--死刑。②演员或运动员等退场。③旧指到考场应考。⒙下jià 1.见'下借'。
寸,寸 (指事。小篆字形，从又，从一。又象手形，一指下手腕一寸之处。寸是汉字部首之一，从寸的字往往与手有关。本义中医切脉，称距离手腕一寸长的部位为寸口，简称寸)寸，十分也。人手却一寸，动脉谓之寸口。--《说文》。按，十发为程，而当一分，十分为寸。布指知寸。--《大载礼记·主言》肤寸而合。--《公羊传·僖公三十一年》又如寸田(三丹田);寸关尺(中医指寸口、关上、尺中的简称)长度单位， 1/10尺为一寸，古代计量长度单位的标准不同，寸的具寸 cùn①长度单位。十分等于一寸，十寸等于一尺。②形容极短极小鼠目～光。③中医切脉，称离手掌一寸的手腕经脉为'寸口'，简称'寸'。④姓。【寸步难行】形容走路很困难。也比喻处境十分艰难。【寸草不留】连小草都不留。形容遭天灾人祸后的凄惨景象。【寸心】①心中；内心得失～知。②微小的心意；小意思聊表～。【寸阴】日影移动一寸的时间。形容时间极短。寸cǔn 1.忖。揣度;思量。
大,大 (象形。甲骨文字形，象人的正面形，有手有脚。大是汉字部首之一，从大的字往往与人类或人事有关。本义大小的大)形容体积、面积、数量、力量、规模、程度等方面超过一般或超过所比较的对象。与小相对 大，天大地大人亦大，故大象人形。古文大也，籀文介，改古文亦象人形。凡大人、大夫、太子、太君，皆尊词。--《说文》遵彼大路兮。--《诗·郑风·遵大路》大有。--《易》。释文大有，包容丰富之象。大报天而主日也。--《礼记·郊特牲》。其朝践用两大尊。--《周礼·司尊彝》。司农
丈,丈 (会意。小篆字形。从又(手)持十。十，十尺。本义长度单位，十尺) 同本义 丈，十尺也。--《说文》度五尺为墨，倍墨谓之丈。--《小尔雅》遂成丈匹。--《后汉书·列女传》白发三千丈。--唐·李白《秋浦歌》百丈冰。--唐·岑参《白雪歌送武判官归京》半匹红绸一丈绫，系向牛头充炭直。--唐·白居易《卖炭翁》长丈许。--明·魏禧《大铁锥传》又如丈尺(以丈、尺为单位来计量);丈六(一丈六尺);丈二(一丈二尺);丈数(一丈多;丈把)丈 古时对长辈男子的尊称 丈zhàng⒈市制长度单位。十尺是一～。⒉测量长度、面积～量。～地。⒊①对年长人的尊称，也简称'丈'老～。②称妻子的父亲。⒋①成年男子。②妇女的配偶，跟'妻子'相对。
与,与 (会意。小篆字形，一、勺合起来，表示赐予别人东西。與，从与，从舁(鉹??)，共同抬起，与，给予∠起来表偕同、朋友。本义赐予，施予，给予)同本义 与，赐也，通作与。--《正字通》我持白璧一双，欲献项王，玉斗一双，欲与亚父。--《史记·项羽本纪》又则与斗卮酒。取与者，义之表也。--汉·司马迁《报任安书》与衣裳，吏护还之乡。--唐·柳宗元《童区寄传》有张氏藏书甚富。往借，不与，归而形诸梦。--清·袁枚《黄生借书说》又如赠与(赠给);交与(交给);与人方便;与受同科(行贿和受贿的人与（與）yǔ⒈跟，同，和～众不同。～虎谋皮。我～你们一道走。⒉给，授予交～。送～。赠～。⒊交往，友好彼此相～。不欺其～（其与指结交好的国家）。⒋赞许，帮助朝过夕改，君子～之。君不～胜者，而～不胜者。⒌与（與）yú同'欤'。与（與）yù参加，参预～会。参～。～闻（亲自听到。参与其事且得知内情）。
万,万 (形声。萬，甲骨文呈蝎子形。本义蝎)虫名。蝎。万，虫也。--《说文》今日俸钱过十万，与君营奠复营斋。--唐·元稹《遣悲怀》又如万寿(称皇帝、皇后的生日);万劫(即万世。形容极长的时间);万井(古代以地方一里为一井，万井即一万平方里);万夫(万人);万户(一万户);万户侯(食邑万户之侯);万顷(百万亩。百亩为一顷)古代的一种舞名 古州名 万mò⒈万（萬）wàn⒈数目字十千为一～。⒉多，一切～般。～物。千家～户。千军～马。～象更新。⒊极，很，绝对～端。～难。～无一失。～全之策。⒋①万分之一。②意外，意外的～一出错。防止～一。③倘若，如果～一他不干，就请别人干。⒌①千秋万代，永远存在。②〈表〉欢呼或棕人民～岁。
上,上〈名〉(指事。小篆字形。下面的一表示位置的界线，线上一短横表示在上面的意思。本义高处;上面)同本义 上，高也。--《说文》宛丘之上兮。--《诗·陈风·宛丘》施于松上。--《诗·小雅·顁弁》冬时有嗽上气疾。--《周礼·疾医》云上于天干。--《易·需》上食埃土，下饮黄泉。--《荀子·劝学》列其姓名于大堤之上。--明·张溥《五人墓碑记》又如上荣(飞檐。屋檐两端的挑角);上柽(门框上端的横梁);上漏下湿(形容屋舍破旧，不蔽风雨);上网(系在箭靶上方的绳子);上丹田(道家谓人的两眉之间为上丹田);上上shàng⒈位置在高处的，跟'下'相对～面。～边。〈引〉质量、等级、地位高的或次序在前的～乘。～品。～等。～策。～级。～司。～行下效。～册。～月。～半天。⒉从低处到高处～山。～楼。〈引〉去，到，进呈，向前进～船。～北京。～农村。～书。献～。赶～。你快～。⒊增添，安装～油。～菜。～门窗。⒋登载，登记～报纸。～帐簿。⒌按规定时间进行活动～课。～操。～班。⒍指方面领导～。实际～。东面～。⒎指时间、处所、部位、范围等早～。课堂～。大路～。火车～。墙头～。书本～。心坎～。城市～。⒏指物体表面脸～。包装～。表面～。⒐涂，擦涂～。～药膏。～油漆。⒑拧紧～琴弦。～闹钟。⒒〈表〉动作趋向或达到、完成泡～茶。爬～来。坐～去。登～高峰。考～了研究生。当选～人民代表。⒓达到一定程度或数量～够了。～满了。成千～万。⒔旧时乐谱记音符号之一，相当于简谱的'1'。⒕⒖上shǎng
小,小 (象形。据甲骨文，象沙粒形。小篆析为会意。从八，从|。本义细;微。与大相对)同本义 小，物之微也。--《说文》小往大来。--《易·泰》。疏阴生消耗，故称小。彼所小言尽人毒也。--《庄子·列御寇》。注细巧入人为小言。翱噂彼小星。--《诗·召南·小星》受小球大球。--《诗·商颂·长发》怨不在大，亦不在小。--《书·康诰》又如小鹿儿(喻指因紧张而剧烈跳动的心脏);小录(新科进士的题名录);小小xiǎo⒈跟'大'相对①面积、范围小的～山。～国。～块田。②量少的～量。～数。～雨。一～点。③程度浅的～学生。④声音低的～声。⑤年幼的，排行最末的～孩子。～妹妹。⑥谦词～弟。～女。～号。⒉轻视～看。⒊稍微～试锋芒。⒋时间短～住。～歇。⒌⒍①矮小的人～人国（童话）。②旧时指被统治者或地位低下的人。③人格卑鄙的人无耻～人。⒎①戏曲、杂技中的丑角。②〈喻〉轻浮，不顾廉耻的人跳梁～丑。⒏①寻常非同～可。②旧时谦称自己～可愿往。⒐
口,口〈名〉(象形。甲骨文字形，象人的口形。本义口腔器官，嘴)同本义。人类用来发声和进食的器官 口，人所以言食也。--《说文》且夫口三五之门也。--《国语·晋语》口之为言达也。--《春秋·元命苞》口者心之门户。--《鬼谷子·捭阖》勺饮不入口七日。--《左传·定公四年》下有蟾蜍，张口承之。--《后汉书·张衡传》卖炭得钱何所营?身上衣裳口中食。--白居易《卖炭翁》又如口腹(指饮食);口分(口福);口滑(指吃东西失去控制;说话不谨慎);口辅(面颊。辅颊);口眼弗闭(放心不下;死不瞑目);口里摆菜碟儿(比喻嘴口kǒu⒈嘴，人与动物进食的器官，也是某些动物或高等动物发声器官的一部分张～。～燥唇干。⒉说话～音。～若悬河。⒊容器通外面的部分杯～。花瓶～。坛子～。⒋出入通过的地方道～。门～儿。街～儿。关～。长江～。⒌特指我国长城的某些关口～北。喜峰～。⒍破裂的地方裂～。伤～儿。上衣破了个～子。⒎锋刃刀～。⒏骡、马等的年龄（因可由牙齿的多少及磨损程度看出来）这匹马是五岁～。⒐中医诊脉，将离手掌后一寸的手腕经脉处叫'寸口'，简称'寸'或'口'。⒑量词①指人一家三～。②指牲畜几个牲～。两～猪。③指器物两～井。四～刀。⒒⒓⒔①从语气间表露出来的感情意思嘲讽的～吻。②某些动物（如鱼、狗等）突出的嘴、鼻部分。⒕①说话的气势好大的～气。②指言外之意，话语中透露出来的意思听她的～气。③说话时流露出来的感情色彩教训人的～气。⒖①劝说、交涉或挑拨等的言词颇费～舌。② 争吵或因谈话引起的纠纷。⒗①［～角］嘴边。②［～角］吵嘴。⒘
山,山〈名〉(象形。甲骨文和金文字形，象山峰并立的形状。山是汉字的一个部首。本义地面上由土石构成的隆起部分)同本义 山，土有石而高。--《说文》山，土之聚也。--《国语·周语》山人取之。--《左传·昭公四年》夏后代山。--《礼记·明堂位》太行、王屋二山，方七百里，高万仞。--《列子·汤问》如山如阜，如冈如陵。--《诗·小雅·天保》生于山阜，处于室堂。--《荀子·赋》为山九仞，功亏一篑。--《书·旅獒》山重水复疑无路，柳暗花明又一村。--陆游《游山西村》又如山霭(山上的云气);山灵(山shān⒈地面上高度大、坡度陡的隆起地貌高～。华～。⒉像山的～洪。冰～。～墙（房屋两头的墙）。⒊〈喻〉多，太多人～人海。⒋蚕簇蚕已上～。
巾,巾 (象形。甲骨文字形，象布巾下垂之形。本义佩巾，拭布，相当于现在的手巾)同本义 巾，佩巾也。--《说文》沐巾一。--《仪礼·士冠礼》盥卒授巾。--《礼记·内则》布巾环幅不凿。--《仪礼·士丧礼》静其巾幂。--《仪礼·特牲馈食礼》儿女共沾巾。--《战国策·魏策》归来泪满巾。--宋·张俞《蚕妇》巾短情长。--清·林觉民《与妻书》又如花巾;小丝巾;巾栉(梳洗用品，即手巾和梳子;梳洗打扮);巾帚(拭巾和扫帚);巾帨(毛巾)缠束或覆盖用的织物 巾袖无光。--唐·李朝威《柳毅巾jīn用于擦、抹、包裹、覆盖等的纺织物手～。抹桌～。头～。枕～。围～。
千,千〈数〉(形声。从十，人声。本义数目。十百为千) 同本义 千，十百也。--《说文》又如千夫(一千个成年男子);千门(千家);千社(25家为社，千社为25000家);千祀(千年，千代);总数为一千;千乘(兵车千辆);千载(千年)千 〈形〉比喻数甚大;许许多多 清丽千眼。--陆机《文赋》。注光色盛貌。又如千千(比喻数目很多);千般(多种花样);千寻(形容极高);千钟(丰厚的俸禄。指富贵);千万劫(很长久);千式百样(各种各样);成千上万;白发三千丈;千丁(很多人);千人坑(指堆积大量人尸的土坑);千山(极言山多);千百(极言其多);千帆千qiān⒈数目十个百为一～。⒉〈表〉众多，极大～军万马。～辛万苦。⒊⒋⒌⒎'。
